Controversial Flag,Number of Planets in System,Orbital Period [days],Orbital Period Upper Unc. [days],Orbital Period Lower Unc. [days],Orbital Period Limit Flag,Orbit Semi-Major Axis [au]),Orbit Semi-Major Axis Upper Unc. [au],Orbit Semi-Major Axis Lower Unc. [au],Orbit Semi-Major Axis Limit Flag,Dec [sexagesimal],Dec [decimal degrees],Distance [pc],Distance Upper Unc. [pc],Distance Lower Unc. [pc],Gaia Distance [pc],Gaia Distance Upper Unc. [pc],Gaia Distance Lower Unc. [pc],Optical Magnitude [mag],G-band (Gaia) [mag],Effective Temperature [K],Effective Temperature Upper Unc. [K],Effective Temperature Lower Unc. [K],Stellar Mass [Solar mass],Stellar Mass Upper Unc. [Solar mass],Stellar Mass Lower Unc. [Solar mass],Stellar Radius [Solar radii],Stellar Radius Upper Unc. [Solar radii],Stellar Radius Lower Unc. [Solar radii],Time of Periastron Lower Unc. [days],Radial Velocity Amplitude [m/s],Radial Velocity Amplitude Upper Unc. [m/s],Radial Velocity Amplitude Lower Unc. [m/s],Planet M*sin(i) [Jupiter mass],Planet M*sin(i) Upper Unc. [Jupiter mass],Planet M*sin(i) Lower Unc. [Jupiter mass],Planet Mass [Earth mass],Planet Mass Upper Unc. [Earth mass],Planet Mass Lower Unc. [Earth mass],Planet M*sin(i) [Earth mass],Planet M*sin(i) Upper Unc. [Earth mass],Planet M*sin(i) Lower Unc. [Earth mass],Planet Mass or M*sin(i) [Earth mass],Planet Mass or M*sin(i) Upper Unc. [Earth mass],Planet Mass or M*sin(i) Lower Unc. [Earth mass],Planet Radius [Earth radii],Planet Radius Upper Unc. [Earth radii],Planet Radius Lower Unc. [Earth radii],Planet Radius [Solar radii],Planet Radius Upper Unc. [Solar radii],Planet Radius Lower Unc. [Solar radii],Transit Depth [percent],Ratio of Planet to Stellar Radius,Ratio of Planet to Stellar Radius Upper Unc.,Ratio of Planet to Stellar Radius Lower Unc.,Number of Moons in System,Number of Stellar and Planet Parameters,Number of Stellar and Planet References,RA [hrs],Galactic Longitude [deg],Galactic Latitude [deg],Ecliptic Longitude [deg],Ecliptic Latitude [deg],Parallax [mas],Parallax Upper Unc. [mas],Parallax Lower Unc. [mas],Gaia Parallax [mas],Gaia Parallax Upper Unc. [mas],Gaia Parallax Lower Unc. [mas],Proper Motion (RA) [mas/yr],Proper Motion (RA) Unc. [mas/yr],Proper Motion (Dec) [mas/yr],Proper Motion (Dec) Unc. [mas/yr],Total Proper Motion [mas/yr],Total Proper Motion Unc. [mas/yr],Gaia Proper Motion (RA) [mas/yr],Gaia Proper Motion (RA) Unc. [mas/yr],Gaia Proper Motion (Dec) [mas/yr],Gaia Proper Motion (Dec) Unc. [mas/yr],Gaia Total Proper Motion [mas/yr],Gaia Total Proper Motion Unc. [mas/yr],Radial Velocity [km/s],Radial Velocity Upper Unc. [km/s],Radial Velocity Lower Unc. [km/s],Spectral Type,Stellar Surface Gravity [log10(cm/s**2)],Stellar Surface Gravity Upper Unc. [log10(cm/s**2)],Stellar Surface Gravity Lower Unc. [log10(cm/s**2)],Stellar Luminosity [log(Solar)],Stellar Luminosity Upper Unc. [log(Solar)],Stellar Luminosity Lower Unc. [log(Solar)],Stellar Metallicity [dex],Stellar Metallicity Upper Unc. [dex],Stellar Metallicity Lower Unc. [dex],Stellar Age [Gyr],Stellar Age Upper Unc. [Gyr],Stellar Age Lower Unc. [Gyr],Rot. Velocity V*sin(i) [km/s],Rot. Velocity V*sin(i) Upper Unc. [km/s],Rot. Velocity V*sin(i) Lower Unc. [km/s],V-band (Johnson) [mag],V-band (Johnson) Unc. [mag],B-band (Johnson) [mag],B-band (Johnson) Unc. [mag],R-band (Cousins) [mag],J-band (2MASS) [mag],J-band (2MASS) Unc. [mag],H-band (2MASS) [mag],H-band (2MASS) Unc. [mag],Ks-band (2MASS) [mag],Ks-band (2MASS) Unc. [mag],WISE 3.4um [mag],WISE 3.4um Unc. [mag],WISE 4.6um [mag],WISE 4.6um Unc. [mag],WISE 12.um [mag],WISE 12.um Unc. [mag],WISE 22.um [mag],WISE 22.um Unc. [mag],IRAS 100um Flux Limit Flag,Number of Photometry Measurements,U-B (Johnson) [mag],U-B (Johnson) Unc. [mag],B-V (Johnson) [mag],B-V (Johnson) Unc. [mag],J-H (2MASS) [mag],J-H (2MASS) Unc. [mag],H-Ks (2MASS) [mag],H-Ks (2MASS) Unc. [mag],J-Ks (2MASS) [mag],J-Ks (2MASS) Unc. [mag],b-y (Stromgren) [mag],b-y (Stromgren) Unc. [mag],m1 (Stromgren) [mag],m1 (Stromgren) Unc. [mag],c1 (Stromgren) [mag],c1 (Stromgren) Unc. [mag],Number of Color Measurements
1289,0,1,2.50387,0.00022,-0.00023,0,,,,352.051666,-7.60369,377.04,6.18,-6.18,377.04,6.18,-6.18,12.502,12.37,5612,50,-50,0.99,0.03,-0.03,1.2,0.13,-0.12,,,,,,,,,,,,,,,,,1.66,0.21,-0.19,0.015,0.002,-0.002,,0.01262,0.00076,-0.00081,0,17,7,23.47011108,73.806157,-62.246736,349.700816,-3.834829,2.65,0.04,-0.04,2.65,0.04,-0.04,5.48,0.077,-21.461,0.063,22.15,0.064,5.48,0.077,-21.461,0.063,22.15,0.064,42.93,1.68,-1.68,,4.2,0.1,-0.1,,,,0.194,0.08,-0.08,,,,,,,12.502,0.031,13.266,0.042,,11.268,0.027,10.922,0.027,10.859,0.021,10.825,0.023,10.874,0.022,10.81,0.121,8.845,0.437,,14,,,0.764,0.052,0.346,0.038,0.063,0.034,0.409,0.034,,,,,,,4
1290,0,1,4.024867,0.000015,-0.000015,0,0.0451,0.0006,-0.0014,19.6099,6.816871,225.7,2.4,-2.4,234.36,1.83,-1.83,13.946,13.518,4444,70,-70,0.74,0.04,-0.04,0.7,0.02,-0.02,,54,10,-10,,,,106.47305,19.70546,-19.70546,,,,106.47305,19.70546,-19.70546,10.054,0.123,-0.056,0.092,0.001,-0.001,,0.1304,0.0014,-0.0007,0,23,7,1.30732663,134.802502,-55.431302,20.674397,-1.355411,,,,4.27,0.03,-0.03,54.983,0.053,-34.965,0.043,65.159,0.05,54.983,0.053,-34.965,0.043,65.159,0.05,-16.62,0.01,-0.01,5.5,4.63,0.12,-0.12,,,,0.14,0.12,-0.12,,,,2.2,0.3,-0.3,13.946,0.04,15.072,0.08,,11.807,0.027,11.259,0.023,11.135,0.025,11.063,0.023,11.14,0.021,11.03,0.109,8.565,,,14,,,1.126,0.089,0.548,0.036,0.124,0.034,0.672,0.037,,,,,,,4
1291,0,3,10.054626,0.00001,-0.000011,0,,,,172.334946,-1.454787,45,3,-3,44.13,0.11,-0.11,12.17,11.478,3896,189,-189,0.6,0.09,-0.09,0.56,0.07,-0.07,,2.72,0.29,-0.3,,,,6.48,0.99,-0.93,,,,6.48,0.99,-0.93,,,,,,,,0.0344,0.0004,-0.0004,0,121,15,11.48899638,264.986584,55.250153,173.536772,-4.377773,,,,22.66,0.06,-0.06,88.3,2,-73.6,2.7,115,2.3,94,0.1,-78.1,0.1,122.3,0.1,30.48,0,0,6,4.73,0.06,-0.06,,,,-0.32,0.13,-0.13,1,,,,,,12.17,0.01,13.52,0.06,,9.421,0.027,8.805,0.044,8.561,0.023,8.443,0.022,8.424,0.019,8.322,0.021,8.251,0.298,,21,,,1.35,0.06,0.616,0.052,0.244,0.05,0.86,0.035,,,,,,,5
1292,0,3,24.646582,0.000041,-0.00004,0,,,,172.334946,-1.454787,45,3,-3,44.13,0.11,-0.11,12.17,11.478,3896,189,-189,0.6,0.09,-0.09,0.56,0.07,-0.07,,0.67,0.32,-0.32,,,,2.14,1.08,-1.04,,,,2.14,1.08,-1.04,,,,,,,,0.0259,0.0006,-0.0006,0,120,15,11.48899638,264.986584,55.250153,173.536772,-4.377773,,,,22.66,0.06,-0.06,88.3,2,-73.6,2.7,115,2.3,94,0.1,-78.1,0.1,122.3,0.1,30.48,0,0,6,4.73,0.06,-0.06,,,,-0.32,0.13,-0.13,1,,,,,,12.17,0.01,13.52,0.06,,9.421,0.027,8.805,0.044,8.561,0.023,8.443,0.022,8.424,0.019,8.322,0.021,8.251,0.298,,21,,,1.35,0.06,0.616,0.052,0.244,0.05,0.86,0.035,,,,,,,5
1293,0,3,44.55646,0.00011,-0.0001,0,,,,172.334946,-1.454787,45,3,-3,44.13,0.11,-0.11,12.17,11.478,3896,189,-189,0.6,0.09,-0.09,0.56,0.07,-0.07,,0.71,,,,,,2.8,,,,,,2.8,,,,,,,,,,0.0244,0.0008,-0.0008,0,123,16,11.48899638,264.986584,55.250153,173.536772,-4.377773,,,,22.66,0.06,-0.06,88.3,2,-73.6,2.7,115,2.3,94,0.1,-78.1,0.1,122.3,0.1,30.48,0,0,6,4.73,0.06,-0.06,,,,-0.32,0.13,-0.13,1,,,,,,12.17,0.01,13.52,0.06,,9.421,0.027,8.805,0.044,8.561,0.023,8.443,0.022,8.424,0.019,8.322,0.021,8.251,0.298,,21,,,1.35,0.06,0.616,0.052,0.244,0.05,0.86,0.035,,,,,,,5
1294,0,1,4.098503,0.000011,-0.000011,0,0.04839,0.00076,-0.00076,52.341961,22.299404,336.26,3.03,-3.03,336.26,3.03,-3.03,13.53,13.206,5425,40,-40,0.9,0.04,-0.04,0.84,0.03,-0.03,,78.7,2.9,-2.8,,,,184.02357,8.89924,-8.58141,,,,184.02357,8.89924,-8.58141,11.646,0.56,-0.572,0.107,0.005,-0.005,1.603,0.1266,0.0015,-0.0016,0,90,11,3.48946406,164.50137,-27.54957,55.516407,3.254864,2.97,0.03,-0.03,2.97,0.03,-0.03,25.9,2.3,-13.6,2.4,29.3,2.3,16.6,0.1,-14,0,21.7,0.1,35.43,0,0,4.6,4.54,0.03,-0.03,-0.256,0.036,-0.038,-0.15,0.05,-0.05,3.9,2.1,-1.9,1.4,0.3,-0.3,13.53,0.04,14.506,0.03,,11.632,0.019,11.19,0.015,11.088,0.02,11.016,0.023,11.058,0.021,11.067,0.161,9.003,,,18,,,0.976,0.05,0.442,0.024,0.102,0.025,0.544,0.028,,,,,,,4
1295,0,1,3.38628,0.00002,-0.00002,0,,,,78.339134,16.414202,,,,,,,14.963,14.895,6100,263,-263,1.09,0.09,-0.09,1.24,0.1,-0.1,,,,,,,,,,,,,,,,,9.916,0.985,-0.985,0.091,0.009,-0.009,,0.0742,0.0039,-0.0039,0,14,7,5.22260895,186.542954,-13.029528,78.745765,-6.570684,,,,,,,-2.542,1.199,2.942,0.876,3.888,1.027,-2.542,1.199,2.942,0.876,3.888,1.027,8.97,1.79,-1.79,,3.94,0.44,-0.44,,,,-0.1,0.08,-0.08,,,,29,5,-5,14.963,0.04,15.654,0.04,,13.657,0.023,13.346,0.029,13.206,0.028,13.162,0.025,13.162,0.03,12.462,,8.705,,,14,,,0.691,0.057,0.311,0.037,0.14,0.04,0.451,0.036,,,,,,,4
1296,0,1,1.25785,0.000002,-0.000002,0,0.022,0.0018,-0.0018,245.44075,-23.547865,110.87,0.72,-0.72,110.87,0.72,-0.72,10.775,10.537,5280,70,-70,0.91,0.06,-0.06,0.78,0.07,-0.07,,350.9,1,-1,,,,563.83042,25.10857,-25.10857,,,,563.83042,25.10857,-25.10857,11.882,3.923,-3.923,0.109,0.036,-0.036,,0.135,0.045,-0.045,0,41,10,16.36271667,352.995116,18.275339,247.588569,-1.999135,9.02,0.06,-0.06,9.02,0.06,-0.06,-40.8,2.6,-96.3,2.5,104.6,2.5,-40.2,0.1,-96.3,0.1,104.4,0.1,-4.75,0,0,4.7,4.6,0.07,-0.07,,,,0.08,0.05,-0.05,,,,2.6,0.5,-0.5,10.775,0.023,11.634,0.097,,9.318,0.024,8.942,0.047,8.866,0.019,8.817,0.024,8.859,0.022,8.811,0.065,8.215,,,12,,,0.831,0.121,0.376,0.053,0.076,0.051,0.452,0.031,,,,,,,4
1297,0,1,3.1443189,0.0000049,-0.0000049,0,,,,228.021652,-20.108528,56.8,0.3,-0.3,57.06,0.26,-0.26,17.67,15.679,3300,30,-30,0.17,0,0,0.2,0.01,-0.01,,,,,,,,,,,,,,,,,0.95,0.058,-0.058,0.009,0.001,-0.001,,0.0444,0.0024,-0.0024,0,19,8,15.20144348,342.431708,31.76726,231.058493,-2.16335,17.61,0.09,-0.09,17.53,0.08,-0.08,-120.255,0.161,74.66,0.13,141.547,0.153,-120.255,0.161,74.66,0.13,141.547,0.153,6.25,0.17,-0.17,6,5.09,0.01,-0.01,-2.387,0.01,-0.011,-0.24,0.09,-0.09,1,,,5,,,17.67,0.2,18.656,0.162,,12.665,0.022,12.134,0.027,11.838,0.023,11.631,0.024,11.436,0.023,11.068,0.156,8.969,,,11,,,,,0.531,0.031,0.296,0.033,0.827,0.028,,,,,,,3
1298,0,2,1.133,0.001,-0.001,0,0.0147,0.001,-0.0031,233.624756,-23.259212,112.84,0.96,-0.96,112.84,0.96,-0.96,14.794,15.514,3436,3,-3,0.41,0.01,-0.01,0.38,0,0,,,,,,,,,,,,,,,,,1.33,0.1,-0.09,0.012,0.001,-0.001,0.0957,,,,0,13,8,15.57498372,344.825672,26.054285,236.897578,-3.902838,,,,8.86,0.08,-0.08,-0.389,0.143,-64.473,0.104,64.474,0.104,-0.389,0.143,-64.473,0.104,64.474,0.104,,,,,4.89,0,0,,,,,,,,,,,,,,,,,,12.717,0.023,12.144,0.026,11.911,0.023,11.776,0.023,11.615,0.021,11.534,0.267,8.944,,,9,,,,,0.573,0.035,0.233,0.035,0.806,0.033,,,,,,,3
1299,0,2,5.26,0.007,-0.007,0,0.0582,0.0081,-0.0122,233.624756,-23.259212,112.84,0.96,-0.96,112.84,0.96,-0.96,14.794,15.514,3436,3,-3,0.41,0.01,-0.01,0.38,0,0,,,,,,,,,,,,,,,,,1.83,0.13,-0.12,0.017,0.001,-0.001,0.248,,,,0,13,8,15.57498372,344.825672,26.054285,236.897578,-3.902838,,,,8.86,0.08,-0.08,-0.389,0.143,-64.473,0.104,64.474,0.104,-0.389,0.143,-64.473,0.104,64.474,0.104,,,,,4.89,0,0,,,,,,,,,,,,,,,,,,12.717,0.023,12.144,0.026,11.911,0.023,11.776,0.023,11.615,0.021,11.534,0.267,8.944,,,9,,,,,0.573,0.035,0.233,0.035,0.806,0.033,,,,,,,3
1300,0,1,6.22,0.007,-0.007,0,0.0542,0.0065,-0.0103,228.619278,-21.022715,177.08,3.34,-3.34,177.08,3.34,-3.34,16.4,16.639,3387,5,-5,0.4,0.01,-0.01,0.38,0.01,-0.01,,,,,,,,,,,,,,,,,2.93,0.19,-0.17,0.027,0.002,-0.002,0.119,,,,0,13,8,15.2412852,342.307712,30.70069,231.84087,-2.896765,,,,5.65,0.11,-0.11,-48.398,0.176,-37.018,0.145,60.932,0.166,-48.398,0.176,-37.018,0.145,60.932,0.166,,,,,4.88,0.01,-0.01,,,,,,,,,,,,,,,,,,13.928,0.035,13.293,0.03,12.99,0.036,12.781,0.024,12.591,0.026,11.995,0,8.906,,,9,,,,,0.635,0.046,0.303,0.047,0.938,0.05,,,,,,,3
1301,0,1,7.01,0.007,-0.007,0,0.0911,0.014,-0.0185,232.446381,-17.557276,148.49,0.99,-0.99,148.49,0.99,-0.99,15.269,14.397,3851,83,-83,0.56,0.05,-0.05,0.55,0.02,-0.02,,,,,,,,,,,,,,,,,1.66,0.13,-0.13,0.015,0.001,-0.001,0.085,,,,0,13,8,15.49642537,348.123532,31.089441,234.459634,1.369154,,,,6.73,0.04,-0.04,-55.08,0.074,-44.203,0.076,70.624,0.075,-55.08,0.074,-44.203,0.076,70.624,0.075,,,,,4.7,0.07,-0.07,,,,,,,,,,,,,15.269,0.049,16.667,0.06,,12.042,0.024,11.341,0.022,11.152,0.023,11.019,0.024,11.014,0.021,11.031,0.149,8.796,,,14,,,1.398,0.077,0.701,0.033,0.189,0.032,0.89,0.033,,,,,,,4
